product_id,Avg_rating
1,3.67
2,2.4
3,2.75
4,4.0
5,3.75
6,2.8
7,2.86
8,3.0
9,2.5
11,2.67
12,1.0
13,2.33
14,2.75
19,3.25
20,3.14
21,3.0
23,3.2
25,1.5
28,4.0
31,3.33
33,2.8
34,5.0
35,3.0
36,2.44
37,3.33
39,3.33
40,3.67
41,2.33
42,3.33
44,2.75
46,3.75
47,2.67
49,3.38
51,2.5
52,4.0
54,2.33
55,3.67
57,2.0
59,3.33
61,1.5
63,3.0
64,3.0
65,2.71
68,3.5
69,3.6
70,2.5
71,2.75
72,3.17
74,2.0
75,4.33
76,2.17
77,1.0
78,3.43
82,3.75
83,2.62
84,2.8
85,1.0
87,3.0
88,3.5
90,2.0
91,3.4
93,2.0
98,3.4
100,2.25
101,2.0
102,5.0
104,1.8
106,2.33
109,2.67
110,4.75
111,1.67
112,2.88
113,3.0
116,1.67
117,4.5
118,2.67
119,3.25
121,2.75
124,2.17
125,3.25
127,4.0
131,2.6
132,1.67
134,4.33
136,2.6
137,3.0
138,2.67
141,1.75
142,3.0
145,2.5
146,2.0
147,3.0
149,3.33
150,2.5
153,2.75
155,3.17
157,2.67
159,3.0
161,3.2
164,1.33
165,4.0
166,2.8
167,2.2
169,3.25
170,2.0
171,2.86
173,4.0
176,5.0
177,3.5
178,3.11
179,3.6
182,2.33
183,1.0
184,2.0
185,5.0
186,4.17
188,2.33
189,2.5
191,4.0
192,3.0
193,3.33
194,2.33
195,2.67
196,3.25
199,4.0
200,4.0
204,3.33
206,3.25
207,4.0
208,2.6
210,2.67
212,4.0
214,3.0
216,2.67
217,3.5
219,2.29
220,3.0
223,1.0
224,3.33
226,2.0
227,2.17
228,2.17
229,3.4
230,2.67
231,3.0
232,3.0
233,3.0
234,3.75
237,2.0
238,2.0
239,2.0
243,3.43
244,4.33
246,3.0
248,3.25
249,1.67
250,2.33
251,3.0
253,2.83
254,4.5
256,2.0
259,4.29
261,3.0
262,2.75
263,1.5
264,3.2
266,2.2
268,3.6
269,4.0
274,2.5
275,2.25
276,2.71
277,4.5
278,2.4
279,3.11
280,1.67
281,2.5
282,2.2
284,3.33
285,2.67
287,2.2
291,2.8
293,2.8
295,2.5
297,2.4
299,2.25
301,3.0
302,2.8
303,2.5
305,2.6
307,2.0
308,3.0
309,2.5
310,2.5
314,2.0
319,1.67
320,4.0
325,3.0
327,3.6
328,4.0
329,3.25
331,5.0
332,3.0
334,2.5
336,2.33
337,2.2
338,4.0
340,2.83
342,3.0
344,2.67
346,3.0
347,3.75
348,3.17
349,3.0
350,3.5
352,3.0
356,2.0
358,2.5
365,3.4
366,2.0
369,3.33
371,2.6
372,3.0
374,2.6
375,5.0
376,2.2
378,3.5
379,2.43
383,3.0
385,3.6
388,4.0
389,2.0
392,2.4
393,2.17
394,3.17
395,2.5
396,2.5
401,3.0
402,3.67
403,2.8
404,2.5
405,3.2
407,3.0
408,3.5
409,3.5
411,3.5
413,3.5
414,2.4
417,2.67
419,4.33
420,2.25
424,3.0
426,3.5
427,3.0
432,2.5
433,3.2
435,3.5
437,3.0
439,3.0
443,3.0
444,2.0
445,2.33
446,2.6
448,3.75
449,4.12
451,3.6
453,2.33
454,2.25
455,3.0
457,3.0
460,3.5
461,4.33
462,2.88
465,2.5
466,2.25
467,4.0
468,3.0
471,4.5
472,2.29
473,3.0
475,3.33
476,2.86
478,3.67
480,2.5
482,2.17
483,1.67
484,2.57
485,2.83
486,3.5
488,2.71
489,3.25
496,3.5
499,2.5
500,3.33
501,4.5
504,3.25
505,3.57
506,3.0
507,2.8
508,3.29
509,3.5
510,4.0
511,3.83
512,4.0
513,3.2
516,2.67
521,3.6
524,4.0
526,2.67
527,3.0
528,3.67
530,3.5
531,2.75
533,2.4
534,3.5
535,5.0
537,3.33
540,3.25
543,3.0
544,1.86
545,3.6
546,1.75
547,3.0
548,3.0
549,3.33
552,3.2
554,3.0
555,4.33
556,3.5
557,3.67
558,2.33
559,3.0
561,5.0
562,3.5
563,3.5
565,2.0
566,2.0
567,4.0
569,4.4
570,3.14
574,3.0
575,2.29
576,2.33
578,4.0
579,5.0
581,3.86
584,5.0
589,2.6
590,2.5
591,5.0
593,2.71
594,3.67
597,3.0
598,2.62
599,2.88
600,3.0
602,3.0
603,2.75
604,2.75
605,2.0
607,3.75
610,4.0
612,3.0
613,3.29
615,1.0
616,2.6
617,3.6
620,3.57
625,3.75
626,5.0
628,4.33
630,3.0
633,2.0
634,4.5
636,4.0
637,3.67
638,3.25
640,3.67
642,1.8
643,2.5
644,2.5
645,3.0
647,3.17
649,4.0
650,2.0
651,2.8
652,4.0
653,3.75
654,3.67
656,3.0
657,4.0
658,2.5
660,3.8
662,3.0
663,2.0
666,1.5
667,4.5
669,3.0
670,2.25
672,2.8
673,3.8
674,4.0
676,2.0
679,3.5
680,3.0
681,2.57
683,3.2
684,3.0
685,2.5
686,3.6
688,2.0
689,2.6
690,3.5
691,3.2
693,3.5
694,2.2
697,3.0
698,3.0
699,3.5
702,4.25
703,3.75
705,3.0
706,2.4
707,3.33
708,3.0
709,3.0
710,2.0
711,3.6
712,2.5
714,2.0
715,3.75
717,1.67
718,3.67
719,3.71
728,3.75
729,1.0
730,3.67
734,2.33
738,3.0
740,3.2
741,3.75
742,2.0
743,3.2
744,3.0
745,3.0
748,4.0
749,2.83
751,3.5
752,2.8
756,2.5
757,3.67
759,2.25
760,3.2
761,3.0
764,3.8
765,4.0
766,2.0
768,2.5
770,4.67
771,3.67
772,3.0
773,1.0
775,2.89
776,4.0
778,2.0
782,3.0
783,2.67
785,2.86
786,3.67
787,2.33
788,2.6
789,3.17
790,4.0
791,1.67
792,3.4
795,2.5
797,3.33
800,3.0
801,1.2
802,3.5
803,3.25
804,3.0
805,3.3
806,3.0
809,3.2
811,3.33
812,3.67
813,4.0
814,3.0
815,2.83
820,2.0
821,2.0
822,3.29
823,2.33
824,2.5
825,3.4
826,3.17
827,5.0
828,2.0
831,2.5
832,2.17
834,1.75
835,3.25
837,3.67
838,1.8
840,1.5
844,3.62
845,3.17
846,1.0
847,3.5
848,3.25
849,2.5
853,2.33
855,2.75
856,2.5
860,3.5
861,3.0
862,3.0
864,4.75
865,1.75
868,2.5
870,3.4
872,2.25
875,1.8
876,2.2
878,2.17
880,2.71
881,3.29
888,3.4
889,2.62
890,2.75
891,5.0
892,2.25
893,3.2
894,2.33
895,2.67
896,3.33
897,2.14
898,2.43
899,4.0
901,4.0
904,1.33
906,2.0
909,2.71
910,4.0
912,3.29
915,2.0
917,2.5
920,3.2
921,2.0
923,3.0
925,1.5
927,1.0
928,2.25
929,2.86
930,3.25
931,2.75
932,2.67
933,2.67
935,3.0
936,3.0
938,3.0
939,4.4
941,3.83
943,2.0
944,3.67
945,2.0
947,1.0
949,3.33
950,3.5
951,3.6
953,2.83
954,3.67
957,3.2
959,3.25
960,3.5
961,3.67
962,3.0
963,2.33
964,3.5
966,2.0
967,2.67
968,2.0
974,3.0
975,3.0
977,3.5
978,3.0
981,4.33
984,3.0
986,3.5
991,2.4
995,2.5
996,3.5
997,3.25
1000,2.0
1,3.67
2,2.4
3,2.75
4,4.0
5,3.75
6,2.8
7,2.86
8,3.0
9,2.5
11,2.67
12,1.0
13,2.33
14,2.75
19,3.25
20,3.14
21,3.0
23,3.2
25,1.5
28,4.0
31,3.33
33,2.8
34,5.0
35,3.0
36,2.44
37,3.33
39,3.33
40,3.67
41,2.33
42,3.33
44,2.75
46,3.75
47,2.67
49,3.38
51,2.5
52,4.0
54,2.33
55,3.67
57,2.0
59,3.33
61,1.5
63,3.0
64,3.0
65,2.71
68,3.5
69,3.6
70,2.5
71,2.75
72,3.17
74,2.0
75,4.33
76,2.17
77,1.0
78,3.43
82,3.75
83,2.62
84,2.8
85,1.0
87,3.0
88,3.5
90,2.0
91,3.4
93,2.0
98,3.4
100,2.25
101,2.0
102,5.0
104,1.8
106,2.33
109,2.67
110,4.75
111,1.67
112,2.88
113,3.0
116,1.67
117,4.5
118,2.67
119,3.25
121,2.75
124,2.17
125,3.25
127,4.0
131,2.6
132,1.67
134,4.33
136,2.6
137,3.0
138,2.67
141,1.75
142,3.0
145,2.5
146,2.0
147,3.0
149,3.33
150,2.5
153,2.75
155,3.17
157,2.67
159,3.0
161,3.2
164,1.33
165,4.0
166,2.8
167,2.2
169,3.25
170,2.0
171,2.86
173,4.0
176,5.0
177,3.5
178,3.11
179,3.6
182,2.33
183,1.0
184,2.0
185,5.0
186,4.17
188,2.33
189,2.5
191,4.0
192,3.0
193,3.33
194,2.33
195,2.67
196,3.25
199,4.0
200,4.0
204,3.33
206,3.25
207,4.0
208,2.6
210,2.67
212,4.0
214,3.0
216,2.67
217,3.5
219,2.29
220,3.0
223,1.0
224,3.33
226,2.0
227,2.17
228,2.17
229,3.4
230,2.67
231,3.0
232,3.0
233,3.0
234,3.75
237,2.0
238,2.0
239,2.0
243,3.43
244,4.33
246,3.0
248,3.25
249,1.67
250,2.33
251,3.0
253,2.83
254,4.5
256,2.0
259,4.29
261,3.0
262,2.75
263,1.5
264,3.2
266,2.2
268,3.6
269,4.0
274,2.5
275,2.25
276,2.71
277,4.5
278,2.4
279,3.11
280,1.67
281,2.5
282,2.2
284,3.33
285,2.67
287,2.2
291,2.8
293,2.8
295,2.5
297,2.4
299,2.25
301,3.0
302,2.8
303,2.5
305,2.6
307,2.0
308,3.0
309,2.5
310,2.5
314,2.0
319,1.67
320,4.0
325,3.0
327,3.6
328,4.0
329,3.25
331,5.0
332,3.0
334,2.5
336,2.33
337,2.2
