product_id,total_movement,avg_inventory,turnover_rate
1,11,71.0,0.15492957746478872
2,3,71.25,0.042105263157894736
3,4,60.0,0.06666666666666667
5,5,46.5,0.10752688172043011
6,18,55.0,0.32727272727272727
7,3,22.0,0.13636363636363635
8,9,50.833333333333336,0.17704918032786884
10,3,40.5,0.07407407407407407
11,7,56.5,0.12389380530973451
13,5,65.6,0.07621951219512196
18,5,65.0,0.07692307692307693
19,5,94.0,0.05319148936170213
21,7,66.33333333333333,0.10552763819095479
23,1,53.333333333333336,0.01875
24,4,82.5,0.048484848484848485
25,25,20.0,1.25
26,4,56.666666666666664,0.07058823529411765
28,7,66.0,0.10606060606060606
30,0,42.75,0.0
31,21,98.0,0.21428571428571427
32,13,73.5,0.17687074829931973
33,6,45.0,0.13333333333333333
36,9,65.66666666666667,0.13705583756345177
37,3,49.0,0.061224489795918366
39,7,58.666666666666664,0.11931818181818182
41,15,20.0,0.75
46,2,29.0,0.06896551724137931
47,8,58.0,0.13793103448275862
48,7,83.33333333333333,0.084
50,6,77.0,0.07792207792207792
53,6,87.0,0.06896551724137931
54,8,48.0,0.16666666666666666
55,2,60.5,0.03305785123966942
56,11,63.0,0.1746031746031746
58,1,65.0,0.015384615384615385
60,11,66.2,0.1661631419939577
63,11,55.0,0.2
64,0,17.25,0.0
65,10,68.0,0.14705882352941177
67,3,41.5,0.07228915662650602
69,9,68.5,0.13138686131386862
70,16,64.0,0.25
71,13,73.5,0.17687074829931973
75,5,66.0,0.07575757575757576
76,1,51.5,0.019417475728155338
77,3,10.0,0.3
78,1,42.0,0.023809523809523808
79,11,45.333333333333336,0.2426470588235294
81,9,100.0,0.09
82,7,30.0,0.23333333333333334
85,28,74.33333333333333,0.3766816143497758
86,7,41.333333333333336,0.1693548387096774
88,5,71.66666666666667,0.06976744186046512
89,5,50.333333333333336,0.09933774834437085
90,14,35.0,0.4
91,16,79.5,0.20125786163522014
94,2,56.0,0.03571428571428571
96,11,55.0,0.2
97,0,49.5,0.0
98,10,37.5,0.26666666666666666
102,1,29.0,0.034482758620689655
103,8,38.0,0.21052631578947367
107,7,79.0,0.08860759493670886
108,0,79.0,0.0
109,6,100.0,0.06
111,20,41.5,0.4819277108433735
115,7,37.0,0.1891891891891892
116,2,47.5,0.042105263157894736
118,8,52.5,0.1523809523809524
120,9,35.333333333333336,0.25471698113207547
121,13,63.666666666666664,0.2041884816753927
126,8,11.0,0.7272727272727273
127,4,75.0,0.05333333333333334
128,7,45.5,0.15384615384615385
133,3,24.5,0.12244897959183673
135,3,39.0,0.07692307692307693
136,1,51.5,0.019417475728155338
137,10,11.0,0.9090909090909091
139,5,66.25,0.07547169811320754
140,4,56.0,0.07142857142857142
142,3,67.66666666666667,0.04433497536945812
144,8,69.5,0.11510791366906475
145,12,19.5,0.6153846153846154
149,20,41.75,0.47904191616766467
151,5,34.5,0.14492753623188406
153,0,22.0,0.0
154,10,42.0,0.23809523809523808
156,9,60.0,0.15
158,4,74.25,0.05387205387205387
159,6,76.66666666666667,0.07826086956521738
160,6,96.0,0.0625
165,9,63.0,0.14285714285714285
166,0,48.666666666666664,0.0
167,6,25.0,0.24
170,6,57.5,0.10434782608695652
173,13,26.0,0.5
174,7,40.5,0.1728395061728395
175,4,56.5,0.07079646017699115
176,8,69.0,0.11594202898550725
180,3,59.5,0.05042016806722689
185,10,24.0,0.4166666666666667
188,7,56.333333333333336,0.1242603550295858
192,3,64.5,0.046511627906976744
200,3,60.0,0.05
204,2,67.5,0.02962962962962963
208,6,65.0,0.09230769230769231
209,9,73.0,0.1232876712328767
214,12,31.0,0.3870967741935484
217,15,73.5,0.20408163265306123
219,5,83.5,0.059880239520958084
223,11,82.0,0.13414634146341464
225,16,64.0,0.25
227,1,45.0,0.022222222222222223
228,1,51.333333333333336,0.01948051948051948
229,11,57.5,0.19130434782608696
232,3,50.25,0.05970149253731343
235,4,66.33333333333333,0.06030150753768845
237,3,61.0,0.04918032786885246
239,12,69.0,0.17391304347826086
244,2,81.0,0.024691358024691357
248,7,11.0,0.6363636363636364
254,10,73.0,0.136986301369863
256,19,42.5,0.4470588235294118
