product_id,total_revenue,total_expense,profit_margin
1,53855.29,0.0,100.0
2,32204.64,0.0,100.0
3,28915.03,22012.2,23.87
4,32820.51,0.0,100.0
5,53901.31,0.0,100.0
6,37124.76,0.0,100.0
7,38057.23,8663.02,77.24
8,42621.07,3889.25,90.87
9,29249.09,0.0,100.0
10,29994.97,7169.37,76.1
11,54131.39,0.0,100.0
12,50055.46,7259.49,85.5
13,47617.1,0.0,100.0
14,23137.870000000003,0.0,100.0
15,31958.550000000003,25703.79,19.57
16,57365.49,2609.69,95.45
17,30150.41,0.0,100.0
18,22847.16,0.0,100.0
19,23483.74,15721.19,33.05
20,29820.22,11714.51,60.72
21,27103.86,1462.45,94.6
22,31697.93,0.0,100.0
23,28637.739999999998,0.0,100.0
24,32529.37,0.0,100.0
25,60931.7,0.0,100.0
26,48070.380000000005,0.0,100.0
27,19150.989999999998,0.0,100.0
28,47189.61,0.0,100.0
29,37704.16,0.0,100.0
30,32629.37,0.0,100.0
31,37513.13,12356.53,67.06
32,50058.56,10229.05,79.57
33,30336.4,0.0,100.0
34,46321.98,8417.14,81.83
35,12165.460000000001,0.0,100.0
36,27541.52,6719.43,75.6
37,43456.72,1068.33,97.54
38,11982.45,0.0,100.0
39,38047.24,10508.37,72.38
40,47766.78,21950.02,54.05
41,14614.45,5481.4,62.49
42,41581.659999999996,0.0,100.0
43,35252.04,13188.929999999998,62.59
44,42678.62,0.0,100.0
45,36023.92,0.0,100.0
46,14240.060000000001,26885.85,-88.8
47,49943.8,7591.85,84.8
48,61933.740000000005,0.0,100.0
49,43556.590000000004,0.0,100.0
50,43305.19,8785.29,79.71
51,21043.149999999998,21867.08,-3.92
52,32366.52,0.0,100.0
53,37855.56,0.0,100.0
54,15220.210000000001,0.0,100.0
55,43616.85,0.0,100.0
56,26729.32,0.0,100.0
57,28863.32,0.0,100.0
58,48269.420000000006,0.0,100.0
59,41846.53,0.0,100.0
60,30548.32,13573.0,55.57
61,35125.83,22159.03,36.92
62,20650.260000000002,5005.17,75.76
63,52549.049999999996,0.0,100.0
64,60364.31,0.0,100.0
65,29407.0,6553.8,77.71
66,24119.39,0.0,100.0
67,55664.88,12661.63,77.25
68,19318.67,5187.53,73.15
69,19923.91,19343.65,2.91
70,71970.4,7228.58,89.96
71,36550.75,0.0,100.0
72,39791.9,6606.36,83.4
73,22851.09,0.0,100.0
74,36042.799999999996,18161.13,49.61
75,11999.31,0.0,100.0
76,33336.51,0.0,100.0
77,37922.380000000005,9497.92,74.95
78,25979.45,18016.55,30.65
79,45396.63,2943.4,93.52
80,25135.100000000002,11532.05,54.12
81,55416.270000000004,0.0,100.0
82,47296.2,0.0,100.0
83,25315.48,13875.51,45.19
84,50571.11,0.0,100.0
85,46506.380000000005,0.0,100.0
86,41166.03,0.0,100.0
87,19056.579999999998,0.0,100.0
88,61636.69,24735.72,59.87
89,21793.65,10252.34,52.96
90,26163.67,0.0,100.0
91,28736.219999999998,0.0,100.0
92,39181.93,1413.97,96.39
93,38066.28,2619.15,93.12
94,40808.46,13361.88,67.26
95,35023.28,17515.95,49.99
96,44832.39,0.0,100.0
97,21241.12,16475.43,22.44
98,19558.440000000002,9785.68,49.97
99,24879.52,0.0,100.0
100,50525.0,3972.58,92.14
101,46626.25,0.0,100.0
102,37072.41,832.75,97.75
103,13092.29,1315.45,89.95
104,59814.32,13943.29,76.69
105,34646.020000000004,15002.28,56.7
106,42073.32,18432.8,56.19
107,42548.31,15238.56,64.19
108,39891.37,9004.36,77.43
109,23792.84,0.0,100.0
110,35699.14,22195.82,37.83
111,35033.35,0.0,100.0
112,57829.44,12625.89,78.17
113,23745.91,6141.84,74.14
114,20586.71,5608.07,72.76
115,27969.57,0.0,100.0
116,24235.66,7496.82,69.07
117,36047.36,12328.63,65.8
118,61135.23,0.0,100.0
119,60700.18,0.0,100.0
120,33315.92,9475.18,71.56
121,73238.26,0.0,100.0
122,38885.22,0.0,100.0
123,30520.27,0.0,100.0
124,28084.46,0.0,100.0
125,33264.9,10093.35,69.66
126,33582.45,0.0,100.0
127,20818.47,39981.25,-92.05
128,57169.53,28035.260000000002,50.96
129,44934.35,0.0,100.0
130,35149.91,0.0,100.0
131,26036.15,7441.42,71.42
132,32125.33,0.0,100.0
133,24483.91,4762.85,80.55
134,29571.6,0.0,100.0
135,65420.77,0.0,100.0
136,32385.41,0.0,100.0
137,23951.68,2626.96,89.03
138,43744.61,3004.52,93.13
139,30138.510000000002,4754.41,84.22
140,40953.75,0.0,100.0
141,22264.48,23179.739999999998,-4.11
142,2963.75,19757.9,-566.65
143,38381.54,0.0,100.0
